Gene_acc,Gene_id,logFC,log_AveExpr,FDR,Desc,chro,domain
0,Tb427_000368900,-9.867046214069157,-0.9618167155399054,1.859573532074913e-05,Trypanosome variant surface glycoprotein (A-type)  putative,Chr5_3B_Tb427v10,Trypan_glycop; Trypan_glycop_C superfamily
1,Tb427_000524400,-7.715689334950165,-0.020790538692211917,6.07325532694833e-06,Trypanosome variant surface glycoprotein (A-type)  putative,Chr8_5A_Tb427v10,Trypan_glycop
2,Tb427_000288700,-7.6636595776923215,-0.9144068603050349,1.1286394490297775e-05,hypothetical protein  conserved,Chr3_5A_Tb427v10,VSG_B
3,Tb427_000237100,-7.3674267982160995,-1.007935738963238,3.0975866986383236e-06,hypothetical protein  conserved,Chr1_3A_Tb427v10,
4,Tb427_100109300,-7.296053935878392,10.464317897437097,1.2312607341997433e-08,Procyclic acidic repetitive protein (PARP)  putative,Chr10_core_Tb427v10,Trypan_PARP
5,Tb427_000173300,-7.046551050276219,-0.6974058946561507,2.673101205793685e-06,hypothetical protein,Chr11_3B_Tb427v10,
6,Tb427_020029800,-6.971092391588723,0.6798388088870958,2.336591034910516e-06,unspecified product,Chr2_core_Tb427v10,
7,Tb427_000729500,-6.8772613479771705,0.28795343957509983,4.137996483036713e-06,hypothetical protein  conserved,unitig_2196_Tb427v10,
8,Tb427_070075600,-6.798932589564918,-0.6605679240577648,1.0304730549450314e-05,hypothetical protein  conserved,Chr7_core_Tb427v10,
9,Tb427_000615900,-6.7026915828548255,0.807173736025552,4.0034604295042194e-06,Trypanosome variant surface glycoprotein (A-type)  putative,Chr9_5A_Tb427v10,Trypan_glycop; Trypan_glycop_C superfamily
10,Tb427_060008300,-6.649242584402272,12.404004114375374,2.009982064160538e-08,Procyclic acidic repetitive protein (PARP)  putative,Chr6_core_Tb427v10,Trypan_PARP
11,Tb427_100109200,-6.474947293481161,7.782820676113339,1.1959449537821027e-07,Procyclic acidic repetitive protein (PARP)  putative,Chr10_core_Tb427v10,Trypan_PARP
12,Tb427_000288600,-6.465670326267466,0.0753177154517649,5.874381524423643e-06,Trypanosome variant surface glycoprotein (A-type)  putative,Chr3_5A_Tb427v10,Trypan_glycop
13,Tb427_100077600,-6.299115088104307,2.56285076704787,2.307025753912782e-06,Trypanosome variant surface glycoprotein (A-type)  putative,Chr10_core_Tb427v10,
14,Tb427_000747200,-6.154674099478599,-0.33354467051919834,6.152738600676315e-06,hypothetical protein  conserved,unitig_223_Tb427v10,
15,Tb427_080064600,-6.037933116134147,0.6900771269468081,7.4488449741917755e-06,hypothetical protein  conserved,Chr8_core_Tb427v10,
16,Tb427_000144700,-5.990043132802367,-0.16026412753221142,7.4488449741917755e-06,unspecified product,Chr11_3B_Tb427v10,
17,Tb427_000667800,-5.7870210370399295,-0.42798685129309705,1.2410010043117242e-05,hypothetical protein  conserved,unitig_1881_Tb427v10,
18,Tb427_000018600,-5.728232956237714,-0.362453108759126,1.6571929575690594e-05,BT1 family  putative,BES3_Tb427v10,fbt
19,Tb427_080032800,-5.72092082344961,3.162726691049384,3.9527107999090915e-05,unspecified product,Chr8_core_Tb427v10,
20,Tb427_040040300,-5.650152198809999,-0.9272743444401538,1.2155030290633078e-05,hypothetical protein  conserved,Chr4_core_Tb427v10,
21,Tb427_100109100,-5.6170983542327795,4.8972603488089135,4.2988459888292256e-06,Trypanosome variant surface glycoprotein (A-type)  putative,Chr10_core_Tb427v10,
22,Tb427_000073700,-5.5999830839741955,1.5110624455103732,3.1157607127689865e-05,hypothetical protein  conserved,Chr10_3A_Tb427v10,
23,Tb427_000173400,-5.497324941995668,1.6629106200206598,2.4292641917186856e-05,unspecified product,Chr11_3B_Tb427v10,
24,Tb427_080005200,-5.3952815997221215,4.182914765542054,1.521211136154358e-06,hypothetical protein  conserved,Chr8_core_Tb427v10,
25,Tb427_000160700,-5.344285014636088,3.5862133252311734,0.00011531168780119463,unspecified product,Chr11_3B_Tb427v10,
26,Tb427_000561300,-5.3327149070851965,4.030161549772232,4.1712350216379934e-05,unspecified product,Chr9_3A_Tb427v10,
27,Tb427_000369100,-5.262150963530441,-1.006740760932899,1.8127978159463374e-05,Trypanosome variant surface glycoprotein (A-type)/Trypanosome variant surface glycoprotein C-terminal domain containing protein  putative,Chr5_3B_Tb427v10,Trypan_glycop_C; Trypan_glycop
28,Tb427_000753500,-5.168718381436472,-0.19644180107809492,5.033403684063222e-06,hypothetical protein  conserved,unitig_2313_Tb427v10,internalin_A superfamily; internalin_K; internalin_A superfamily
29,Tb427_000831000,-5.135510058008451,0.011599333296384896,1.526469885005916e-05,hypothetical protein  conserved,unitig_320_Tb427v10,PTZ00121 superfamily
30,Tb427_100109000,-5.045915157919269,4.5673323371183585,1.04947353972759e-05,Trypanosome variant surface glycoprotein (A-type)  putative,Chr10_core_Tb427v10,Trypan_glycop
31,Tb427_000593600,-5.0405549791365045,-0.884795257317824,4.983711163486388e-05,hypothetical protein,Chr9_3A_Tb427v10,
32,Tb427_110037200,-5.0284352022991445,-0.8885719312789995,3.894274211792606e-05,hypothetical protein,Chr11_core_Tb427v10,
33,Tb427_080005000,-5.010023689112463,2.7741355064900732,1.5370498485842302e-05,PAP2 superfamily  putative,Chr8_core_Tb427v10,PAP2_containing_1_like
34,Tb427_100083200,-5.002817762339738,-0.8223084127548278,4.6653058590916666e-05,hypothetical protein  conserved,Chr10_core_Tb427v10,
35,Tb427_040035300,-4.9952142781451325,-0.0986020789092592,2.1106013970307113e-05,Trypanosomal VSG domain containing protein  putative,Chr4_core_Tb427v10,VSG_B
36,Tb427_000007100,-4.989710140159693,0.1823953266906602,4.476677967344082e-06,BT1 family  putative,BES12_Tb427v10,fbt
37,Tb427_000602200,-4.977620799202292,0.1292638141569224,3.797402854005269e-05,unspecified product,Chr9_3B_Tb427v10,
38,Tb427_000561200,-4.975406793029711,0.4604163754097945,0.00016927526382791566,unspecified product,Chr9_3A_Tb427v10,
39,Tb427_000627000,-4.957197643148759,1.0423884616946677,4.041351141516299e-06,Trypanosome variant surface glycoprotein (A-type)  putative,Chr9_5B_Tb427v10,Trypan_glycop
40,Tb427_000054900,-4.91728493392703,2.9834574955050783,3.829511289284865e-05,unspecified product,Chr10_3A_Tb427v10,
41,Tb427_070085800,-4.829405175125157,1.59788524183906,7.793479880995623e-06,RNA polymerase Rpb2  domain 4  putative,Chr7_core_Tb427v10,RNA_pol_Rpb2_4
42,Tb427_000524500,-4.827120323470116,3.53239757886852,8.683707809076129e-06,Trypanosomal VSG domain/Trypanosome variant surface glycoprotein C-terminal domain containing protein  putative,Chr8_5B_Tb427v10,VSG_B; Trypan_glycop_C
43,Tb427_080029900,-4.747410832935655,0.7498349838844698,1.248378843844166e-05,unspecified product,Chr8_core_Tb427v10,
44,Tb427_000649500,-4.6985939024680885,-0.9273587260201692,3.6668527373029654e-05,Retrotransposon hot spot protein  putative,unitig_1842_Tb427v10,RHSP superfamily
45,Tb427_000074200,-4.684871454430184,3.9340069841286964,1.8449415240861277e-05,unspecified product,Chr10_3A_Tb427v10,
46,Tb427_000731200,-4.65001569256675,-0.9110350525044846,4.61047259417546e-05,hypothetical protein  conserved,unitig_2198_Tb427v10,
47,Tb427_080030000,-4.630830037102798,1.11347691615381,2.383765767393003e-05,unspecified product,Chr8_core_Tb427v10,
48,Tb427_060008400,-4.5509568006927665,8.56544852117351,2.898159035612757e-07,Procyclic acidic repetitive protein (PARP)  putative,Chr6_core_Tb427v10,Trypan_PARP
49,Tb427_100077700,-4.537066112127265,-1.0054921533366359,0.0002123335609151715,hypothetical protein  conserved,Chr10_core_Tb427v10,
50,Tb427_070075400,-4.529780245122897,2.3559377416155147,6.218864359144903e-06,hypothetical protein  conserved,Chr7_core_Tb427v10,
51,Tb427_000770400,-4.490310609834738,-0.03215252680230126,2.2629461834813173e-05,hypothetical protein  conserved,unitig_2455_Tb427v10,internalin_A superfamily; internalin_K; internalin_A superfamily
52,Tb427_100108800,-4.485893491353867,4.122850600403702,6.534739047410127e-06,Trypanosome variant surface glycoprotein (A-type)  putative,Chr10_core_Tb427v10,Trypan_glycop
53,Tb427_100108900,-4.480242411163628,4.436942624075988,5.652500938203697e-06,Trypanosome variant surface glycoprotein (A-type)  putative,Chr10_core_Tb427v10,Trypan_glycop
54,Tb427_100109400,-4.442680428747941,2.7280076410585647,1.239428463183367e-06,hypothetical protein  conserved,Chr10_core_Tb427v10,
55,Tb427_000726800,-4.420216263427436,-1.002052760531957,0.00010559104339986127,Retrotransposon hot spot protein  putative,unitig_2174_Tb427v10,RHSP superfamily
56,Tb427_000019600,-4.402728129724626,-0.7943681456981424,4.554075135589997e-05,Adenylate and Guanylate cyclase catalytic domain containing protein  putative,BES3_Tb427v10,Nucleotidyl_cyc_III superfamily; Periplasmic_Binding_Protein_type1 superfamily
57,Tb427_000727000,-4.3997144037313705,-0.05496709304063696,8.846122627559633e-05,Retrotransposon hot spot protein  putative,unitig_2175_Tb427v10,RHSP superfamily
58,Tb427_000621900,-4.399641012225782,4.971665879693281,1.9703298972945238e-05,unspecified product,Chr9_5A_Tb427v10,
59,Tb427_100077800,-4.3894272598360144,8.867355945423489,2.3334994976017828e-07,Cysteine-rich acidic integral membrane protein precursor  putative,Chr10_core_Tb427v10,MSCRAMM_ClfA; MSCRAMM_ClfA; MSCRAMM_ClfB
60,Tb427_000012500,-4.363938731609493,0.4946660168531901,4.080949757820284e-05,BT1 family  putative,BES17_Tb427v10,fbt
61,Tb427_000773300,-4.308854412705244,-0.769041572381582,0.0003410627404448277,Retrotransposon hot spot protein  putative,unitig_2466_Tb427v10,RHSP superfamily
62,Tb427_030034900,-4.30764726157827,-0.9082654361067938,6.829036107719645e-05,Endonuclease-reverse transcriptase  putative,Chr3_core_Tb427v10,EEP superfamily
